Randomized Student ID,Start Term,Enrollment Type,Pell,First Gen,Legal Sex,Student of Color?,Retention,Weighted HS GPA,LC GPA,Major Division,AcademicMotivation_Indicator,Grit_Indicator,Worries_Indicator,AcMo_WorkHardLearn,AcMo_TestSuccessPrep,AcMo_HSReadAboveReq,AcMo_TalkTchOutClass,AcMo_GoodGradesImp,AcMo_ChallengeMaterial,AcMo_ImpAcademicExp,AcMo_EnjoyAcademicExp,Conf_AttendInst,Conf_KnowMajor,Grit_IgnoreSetbacks,Grit_HardWork,Grit_FinishThings,Grit_Diligent,Grit_OvercomeSetbacks,CollGoals_MeaningfulCareer,CollGoals_LearnPrepForLife,CollGoals_IntPersChallenges,CollGoals_Friendships,CollGoals_DoWithLife,CollGoals_FinSuppSelf,CollGoals_GoodLifeFamily,CollGoals_FamilyProud,CollGoals_GiveBack,CollGoals_GradSchool,CollGoals_PositiveImpact,CollGoals_Other,CollGoals_Other_TEXT,CollGoals_total,Worries_DoWellAcad,Worries_MakeFriends,Worries_PayBills,Worries_MeetingExpect,Worries_BalancingResp,Worries_MentalHealth,Worries_FigureOutLife,Worries_Societalssues,Worries_EnoughFood,Worries_PlaceToSleep,Hours_PrepForClass,Hours_Extracurriculars,Hours_Working,SuccessfulLife_TEXT,SupportYou_TEXT
0182094822,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,3.48,3.41,Arts and Humanities,3.75,3.6,2.2,5,4,4,4,4,4,2,3,4,2,4,4,3,3,4,0,0,0,0,1,0,0,0,0,0,0,0,,1,2,2,2,2,3,3,3,3,1,1,3,3,2,,
0184193935,22/FA,New Transfer,Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,-,3.71,Arts and Humanities,2.88,2,2.6,4,2,4,2,2,3,4,2,3,4,2,2,2,1,3,1,0,0,1,1,1,0,0,0,1,0,0,,1,4,4,2,2,2,3,3,2,3,1,3,3,5,"i'd be a museum curator for the MFA, or an art historian researching artworks -- either paintings or manuscripts.",
0184541365,21/FA,"First-Time, First-Year",Pell,Not 1st Gen,Female,Student of Color,Retained,3.80,3.65,Arts and Humanities,3.5,4.2,2.9,4,4,3,4,4,3,4,2,4,3,4,5,4,3,5,0,1,1,1,0,1,0,0,1,1,0,0,,1,4,2,4,3,3,3,3,4,2,1,5,3,4,"Im working either as an independent restorator/conservator or with a museum. I’m able to afford a stable living situation, such as a flat or even a 2 bedroom house. I live in a town that i like, preferably near an ocean. Im financially stable and my student debts are on their way to being paid off.",Help me make connections
0187780513,23/FA,"First-Time, First-Year",Not Pell,First Gen,Female,International,-,4.17,4.00,Undecided,3.63,5.00,2.60,2,4,3,3,5,5,4,3,4,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,0,,1,3,4,4,2,2,2,4,2,2,1,3,2,4,I see myself being able to travel to countries of my choice without worrying about financial pressure. I see myself on the path to getting us citizenship and a stable job in the country too. I see myself living in my own apartment that suits my style and personality. I also see myself either on the path or already gotten my masters degree.,Help me figure out what I want to major in by having real and honest conversations with me.
0195901009,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,Not Retained,4.29,3.43,Undecided,3.13,3.2,2,4,4,3,2,3,4,3,2,3,2,3,3,2,4,4,1,1,1,1,0,1,0,1,1,0,1,0,,1,2,3,2,2,2,2,3,2,1,1,4,2,3,Maybe I would be earning a lot on an online job so I can travel a lot or move to a cool spot in the woods or in the mountains.,Be happy to assist me if I have questions or need help.
0198249172,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Student of Color,Retained,3.95,3.96,Arts and Humanities,3.38,3.6,1.4,4,4,2,3,4,5,3,2,3,4,4,4,3,4,3,1,1,1,1,0,1,1,1,0,0,1,0,,1,1,1,1,2,1,2,2,2,1,1,2,5,1,"I picture myself being quite financially comfortable with a family, providing thanks to music, full time.",Simply help me grow as a musician and learn ways in which to make myself marketable/ other ways to make money off of music
0206709480,22/FA,"First-Time, First-Year",Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.28,3.95,Social Sciences,3.75,4.8,2.4,4,4,2,4,5,4,4,3,4,3,4,5,5,5,5,1,1,0,0,0,1,0,1,0,0,1,0,,1,2,3,2,3,3,3,2,4,1,1,6,3,4,"In college, I am looking to obtain a clearer idea of the specifics of life after school, but at the moment, my ideal post-school life is built on a balance of adventure (i.e. travel, overall new experiences, being involved in the various communities of the place(s) I reside, etc.) and development of my career. I want to explore the extremes of the outdoors, meet new people, find meaning in my work. My current area of interest is Pre-Law, and I am tentatively planning to go to law school, but I don't know that I necessarily want to practice law. Rather I am interested in using that knowledge to help people in a different way. Potentially I could find an advising position as part of NGO.","Coming into college, one of my biggest worries is deadlines. When I returned to in-person school after a year and a half of distance learning, my teachers had significantly altered the way they handled late work in that they would accept assignments without penalty after their respective deadlines. Considering that, I think I would appreciate support on making the transition out of that system and into a system of different expectations surrounding timeliness in college."
0213355832,22/FA,"First-Time, First-Year",Pell,Not 1st Gen,Female,Student of Color,Retained,4.48,3.72,Arts and Humanities,3.63,4,2.1,4,4,3,4,3,4,4,3,4,3,4,4,4,4,4,1,1,1,1,1,1,1,0,1,0,0,0,,1,2,3,3,2,2,2,3,2,1,1,4,3,3,"Working in a medium-sized corporation with a position somewhat related to international travel/communication or financial advising, and living in a suburban house near a large city.",Advising on career ideas and what would be the best way to get there.
0214815307,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,Retained,4.12,3.95,Math and Natural Sciences,3.25,3.6,2.7,5,3,4,2,4,4,2,2,3,1,3,4,3,4,4,1,1,1,1,1,0,0,0,1,0,1,0,,1,4,4,1,2,4,3,4,3,1,1,4,4,3,"I’m not sure how I want my life to look, but I will be satisfied as long as I feel fulfilled. My main goal is to bring joy into the world.",Remain open to answering questions and giving advice
0220570963,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,Retained,4.75,3.22,Math and Natural Sciences,4.25,5,2.6,5,4,3,3,5,4,5,5,4,2,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,1,0,,1,3,3,2,1,4,4,4,3,1,1,5,5,1,Working in a scientific field and traveling for my job rather than working a desk job.,"Making sure that I understand the ins and out of campus, and just getting acclimated in general."
0228551955,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,-,3.89,3.50,Undecided,3.75,3.40,2.80,4,4,3,4,4,4,4,3,4,4,3,4,3,3,4,1,1,1,1,1,1,1,1,0,0,1,0,,1,4,3,4,2,4,4,2,3,1,1,4,3,5,"I would be an adolescent therapist and I would be able to afford an apartment for me and my partner. I would live somewhere green where it rained a lot, and I would be happy.",I do not have the greatest worth ethic and I need people to push me.
0237561036,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Student of Color,Not Retained,4.28,No GPA - did not complete first term,No Longer Enrolled at Institution,3.625,3.6,3.3,4,4,3,3,4,4,3,4,3,3,3,4,4,4,3,1,1,1,1,1,1,1,1,0,0,1,0,,1,4,4,4,4,4,3,3,3,2,2,3,2,3,I want to be living comfortably. I want to be able to visit my family whenever I want without having to worry about financial problems.,"Be there for me when I’m worried about something, answer my questions in a sincere manner, and just be supportive in general."
0241509329,21/FA,"First-Time, First-Year",Not Pell,First Gen,Female,Student of Color,Not Retained,3.83,3.01,No Longer Enrolled at Institution,4.5,5,3.6,5,5,4,4,5,4,5,4,4,4,5,5,5,5,5,1,1,1,0,1,1,1,1,1,0,1,0,,1,4,3,4,4,4,4,4,3,2,4,2,1,2,"After I’m done with school…I’m hoping to have already moved back to my hometown on the Big Island of Hawaii with a stable occupation, steady income and a happy family.",I’d like LC faculty and staff to support me in my future endeavors.
0241830522,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Student of Color,Retained,4.35,3.63,Social Sciences,3.375,3,3.4,4,4,2,2,5,3,4,3,2,1,2,3,4,3,3,1,1,1,1,0,1,0,1,0,0,1,0,,1,4,4,4,4,4,4,4,4,1,1,4,3,3,"I am financially stable and able to provide for myself. I’m living in a big city, hopefully somewhere abroad and climate change hasn’t killed us all hopefully!",
0257470556,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.51,3.93,Math and Natural Sciences,3.88,4,3.4,4,5,3,3,5,4,4,3,3,2,3,5,4,4,4,1,1,0,1,1,1,0,0,1,0,1,0,,1,4,4,2,4,4,4,4,4,2,2,4,3,3,"A successful life to me means having a good job, financial success, and an enjoyable life. I would like to be doing work that I am truly interested in, potentially in the scientific field, and I hope that I will be comfortable financially and not have to live paycheck to paycheck. I would like to be living in a city, maybe in an apartment, with cats and potentially a partner. I would like to be able to travel, as well as visit my parents occasionally. I hope to be happy and in good physical and mental health.","Be aware that many of us haven't had a normal school year in a bit. Be accomodating during the transition from high school to college. Try to get to know individual students, even with the current large enrollment. I am also interested in research eventually, especially scientific, so I would love to learn about those opportunities."
0281935359,21/FA,"First-Time, First-Year",Pell,First Gen,Female,Non-Student of Color,Retained,4.19,3.86,Arts and Humanities,4.125,,,5,4,1,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0284495650,22/FA,New Transfer,Pell,First Gen,Female,Student of Color,Not Retained,-,3.80,No Longer Enrolled at Institution,4,4,3.1,4,5,3,4,5,4,4,3,3,4,3,4,4,4,5,1,1,0,0,1,0,1,0,1,1,1,0,,1,4,4,4,3,4,4,3,3,1,1,5,5,4,"A large house, my family, a child or two, a successful teaching or tutoring career. or, even more ideal- working from home as a novelist.",Connect me with more writing workshops/resources for amateur writers
0290214019,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,Not Retained,3.98,3.53,Undecided,3.75,4.4,2.9,4,5,4,2,5,4,3,3,4,1,4,5,4,4,5,1,1,1,1,1,1,1,0,0,0,1,0,,1,2,4,2,4,3,4,4,4,1,1,6,2,1,,
0295250041,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,3.80,3.83,No Longer Enrolled at Institution,3.625,4.6,2.9,4,4,2,2,5,4,4,4,3,4,3,5,5,5,5,1,1,0,1,1,1,0,0,1,1,1,0,,1,4,4,4,4,3,4,2,2,1,1,5,2,3,I imagine my life to be successful if I am working at a stable job and not worrying about when my next paycheck is. I want to live on the east coast and have friends who love me.,I believe if the staff supports me through hard times I will be able to become successful.
0303506199,23/FA,New Transfer,Not Pell,Not 1st Gen,Male,Non-Student of Color,-,-,3.18,Undecided,4.38,4.60,2.70,5,4,4,3,5,5,5,4,4,3,5,4,5,4,5,1,0,1,1,1,0,1,0,1,0,1,0,,1,3,2,1,3,3,4,3,2,4,2,3,3,2,,
0313035081,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Student of Color,-,3.43,2.67,Undecided,3.13,3.80,2.80,3,4,2,3,4,3,3,3,3,1,4,4,3,4,4,1,1,1,1,1,1,0,1,0,0,1,1,I want to be able to feel good about myself and be able to look back on the things that I have done and be proud.,1,4,2,2,4,4,3,4,3,1,1,3,3,4,"Ever since I was like 4 I have been manifesting that I will become extremely rich so I will be able to give money back to my community and other communities. As I've gotten older I have realized that being physically rich is in-fact one of my goals but also to actually have a rich life as well. To me that means that I like the job I have, I am not also worrying about something or someone, I feel like I can take time off when I need to, have a roof over my head, and be able to fill the table with whatever foods I want. In the future I probably want a wife but not for a while, and after working at summer camps for like 4 years I am not sure that I want kids. Maybe I just want to be one of those really dope uncles. But yeah I pretty much want to be living the life of luxury and still be able to give back to the world.",I am a really stubborn person and also procrastinate a lot. So I think I will probably want a few tutors or something if that is possible. I'm gonna try to make some study groups because that sounds fun but mostly I think that I will just need help academically.
0315724813,21/FA,"First-Time, First-Year",Pell,Not 1st Gen,Female,Non-Student of Color,Not Retained,4.68,3.93,No Longer Enrolled at Institution,4.25,4.4,3.8,4,5,3,4,5,4,5,4,3,3,4,5,4,4,5,1,1,0,0,1,1,0,0,0,1,1,0,,1,4,4,4,4,4,4,4,3,3,4,5,3,2,I’m going to be a successful doctor in whatever field I chose to pursue and I will be financially stable enough to support the lifestyle I want to be able to have.,Clear communication and patience are all I need in order to work through problems and succeed
0318930092,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.21,3.92,Arts and Humanities,3.625,4.2,2.3,4,3,4,4,5,4,3,2,4,1,4,4,4,4,5,1,1,1,1,0,1,0,1,1,0,1,0,,1,3,3,2,3,3,2,2,3,1,1,5,4,1,I'd like to see myself living in an apartment in Portland with a stable job in which I feel like I'm making an impact.,I think generally just being supportive and open.
0332848959,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.35,3.79,Arts and Humanities,3.38,3.6,2.7,4,4,3,2,4,4,3,3,4,3,3,4,4,3,4,1,1,1,1,0,1,0,0,1,0,1,0,,1,2,4,3,3,4,4,2,3,1,1,5,4,3,"I see myself living in the PNW after graduating, and possibly moving to another country. I hope to be surrounded by good friends while still having the time and money to visit my family often and travel. I would love to work with an organization that focuses on sustainability specifically with food security, farming, and cooking or design like landscape architecture. Some of the most important parts of my future career are that I get hands-on experience where I'm not going to an office every day, I learn from and enjoy the people I work with, and I feel happy about the work I'm doing. 
It's also a dream of mine to play music wherever I'm living whether that's being on the sub list for the city orchestra, or playing gigs for pit orchestras or other fun types of music. Right now, I'd love to see myself in a bluegrass band in or after college. 
I hope to at some point be able to have a place to live where I can have a garden and a cat. :)","I'd like to be as informed as I can be about opportunities to try things outside of L&C like internships. So if my music and environmental studies professors know of ways to explore those fields in Portland or can recommend things for me to get involved with that would be great.
It's also been extremely helpful to me in the past when teachers or advisors have shared their knowledge and experience about what kinds of things you can do with a certain degree or the things you can/will do in a certain career/field."
0335693185,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Not Retained,4.12,3.64,No Longer Enrolled at Institution,4.25,4.6,2.7,5,5,4,5,4,5,3,3,4,1,5,5,4,4,5,1,1,1,1,0,1,0,1,1,0,1,0,,1,3,4,2,4,4,3,2,3,1,1,5,5,3,"Participating in a community where I feel valued, creating change even if it is small, surrounded by people who I care about and love.",Be there to listen and give feedback about triumphs and struggles both academic and non.
0341886817,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Student of Color,Retained,3.95,3.79,Social Sciences,4.375,3.8,2.7,4,5,5,4,5,4,5,3,4,4,2,2,5,5,5,1,1,1,1,1,1,1,1,0,0,1,0,,1,4,3,2,4,4,2,4,2,1,1,3,2,2,I am a psychiatrist and had opened up my personal clinic for the lower class.,Answer any questions we have during office hours
0359362262,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,-,4.32,4.00,Undecided,3.50,4.60,2.50,5,4,2,3,5,4,3,2,4,3,5,5,4,5,4,1,0,0,1,1,1,1,0,0,0,0,0,,1,3,2,3,2,4,3,4,1,1,2,3,4,2,I want to start a family with my current girlfriend and build a life together. Financial literacy and freedom have always been things I wish to strive in and I plan do that in and after college.,"Be understanding that we are still kids but also push us to be the best version of ourselves, not the best possible students."
0367044305,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.00,3.46,Math and Natural Sciences,3.5,3.6,2.8,2,4,2,4,5,4,4,3,4,3,3,3,4,4,4,0,1,1,0,0,0,0,1,1,1,1,0,,1,4,3,2,2,3,4,4,4,1,1,3,3,1,"Right now my idea of my future is working as a general surgeon. I want to be able to support myself financially with a house or an apartment in Portland with two cats. I travel often sometimes for work and sometimes on vacation. My job challenges me and I am able to continue learning new things even though I am no longer in school. In my free time, I read lots and on the weekends I go out dancing with friends. I talk to my family often and cherish spending time with my siblings and parents for holidays and birthdays and sometimes just to get brunch and catch up. I have friends all around the world from my many trips and when I feel the need to take a step back from my work I plan trips to see them to catch up and surround myself with different cultures.",Have patience and grace as I navigate living on my own for the first time and being willing to listen when I reach out for help.
0370887534,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Not Retained,4.14,3.42,No Longer Enrolled at Institution,3.75,3.4,3,4,4,3,4,5,4,4,2,3,3,2,4,3,4,4,0,1,0,1,0,1,0,0,1,1,1,0,,1,4,4,2,3,2,4,4,3,2,2,4,4,2,"I have a stable job working with animals. I am able to live comfortably, without much worry of money. I have an active social life with plenty of time for relaxation.",Be approachable.
